TSt	TS	UMt	UM	SOt	SO
18.5333	52241				
18.5833	52208.3				
18.6333	52116.9				
18.6667	52128.1				
18.7167	52118				
18.75	52144.2				
18.8	52150.6				
18.85	52072.2				
18.9	52049.5				
18.9333	52036.8				
18.9833	52036				
19.0167	52034.9				
19.0667	52044				
19.1167	52049.9				
19.15	52032.6				
19.2	52034.8				
19.2333	52036.2				
19.2667	52027.3				
19.3167	51980.5				
19.3667	51961.8				
19.4	51954.7				
19.45	51923.9				
19.4833	51838.2				
19.5333	51841.6				
19.5833	51842.4				
19.6167	51672.6				
19.6667	51663.5				
19.7167	51668.3				
19.75	51672.1				
19.8	51652.5				
19.8333	51648.1				
19.8833	51629.4				
19.9167	51631.3				
19.95	51544.2				
20	51476.9				
20.05	51473				
20.0833	51474				
20.1167	51445.9				
20.1667	51431.8				
20.2167	51364.3				
20.25	51368.7				
20.3	51371.3				
20.3333	51355.7				
20.3833	51345.4				
20.4167	51311.9				
20.4667	51311.9				
20.5167	51308.9				
20.55	51312.1				
20.6	51286.2				
20.6333	51280.3				
20.6667	51273				
20.7167	51264.4				
20.75	51261.2				
20.8	51260.7				
20.85	51251.4				
20.8833	51253.3				
20.9167	51266.3				
20.9667	51271.7				
21.0167	51284				
21.05	51265.1				
21.1	51263.9				
21.1333	51261.8				
21.1833	51220.4				
21.2167	51223.1				
21.2667	51222.2				
21.3167	51224.1				
21.35	51227.5				
21.4	51228.6				
21.4333	51235.1				
21.4833	51236				
21.5333	51235				
21.5667	51233.8				
21.6167	51231.3				
21.65	51061.5				
21.6833	51063.6				
21.7333	50986.3				
21.7833	50985.7				
21.8167	50986				
21.8667	50985.8				
21.9	50987.9				
21.95	50988.5				
21.9833	50984.9				
22.0333	50905.5				
22.0667	50824.6				
22.1167	50822.2				
22.15	50819				
22.2	50816.9				
22.2333	50817.5				
22.2833	50815				
22.3167	50815.5				
22.35	50814.6				
22.4	50816.1				
22.45	50817.6				
22.4833	50813.8				
22.5333	50815.1				
22.5667	50817				
22.6167	50819.5				
22.65	50818.3				
22.7	50819.2				
22.7333	50823.2				
22.7833	50729				
22.8333	50728				
22.8667	50726.4				
22.9	50723.4				
22.95	50719.9				
23	50719.1				
23.0333	50717.9				
23.0833	50708.3				
23.1167	50701.5				
23.1667	50700.8				
23.2	50620.2				
23.25	50621				
23.2833	50617.7				
23.3333	50618.4				
23.3667	50619.6				
23.4167	50615.9				
23.4667	50615				
23.5167	50615.1				
23.5667	50598.1				
23.6	50587.6				
23.65	50586.3				
23.6833	50509.4				
23.7333	50503.6				
23.7667	50477.3				
23.8167	50477.2				
23.85	50479.4				
23.9	50476.4				
23.9333	50398.9				
23.9833	50401.8				
24.0333	50402.4				
24.0667	50397				
24.1	50398.9				
24.15	50397.2				
24.2	50394.8				
24.2333	50395.5				
24.2833	50398.9				
24.3333	50399.8				
24.3833	50396.9				
24.4167	50399.2				
24.4667	50396.2				
24.5	50399.5				
24.55	50401.1				
24.5833	50395.4				
24.6333	50395.9				
24.6833	50399.6				
24.7333	50382.1				
24.7667	50384				
24.8167	50383.3				
24.8667	50382.1				
24.9	50384.1				
24.95	50382.2				
24.9833	50379.8				
25.0333	50363.2				
25.0667	50366.2				
25.1	50370.3				
25.15	50369.6				
25.1833	50363.9				
25.2333	50366				
25.2667	50289.6				
25.3167	50286.6				
25.35	50281.5				
25.4	50270.5				
25.4333	50268.4				
25.4833	50258.3				
25.5333	50258.6				
25.5667	50256.1				
25.6167	50255.2				
25.65	50252.7				
25.6833	50169.8				
25.7333	50174				
25.7833	50168.5				
25.8167	50166.4				
25.8667	50166.4				
25.9	50168.1				
25.95	50167.5				
25.9833	50163.1				
26.0167	50164.9				
26.0667	50162.4				
26.1167	50163.1				
26.15	50156.9				
26.2	50152.1				
26.2333	50153.5				
26.2833	50149				
26.3167	50148.3				
26.35	50145.5				
26.4	50145.2				
26.45	50146.6				
26.4833	50150.9				
26.5333	50150.1				
26.5667	50146.3				
26.6	50143.4				
26.65	50134				
26.7	50130.5				
26.7333	50128.3				
26.7833	50124.9				
26.8167	50124.6				
26.8667	50122.3				
26.9	50112.8				
26.95	50092.4				
26.9833	50085.7				
27.0333	50082.5				
27.0667	50076.1				
27.1167	50076				
27.15	50066				
27.2	50064.3				
27.2333	50060.5				
27.2833	50059.1				
27.3333	50058.6				
27.3667	50048.4				
27.4	50047.1				
27.45	49967.5				
27.5	49954.8				
27.5333	49955.1				
27.5833	49954.4				
27.6167	49957.2				
27.6667	49957.3				
27.7167	49950.4				
27.7667	49931.6				
27.8	49907.5				
27.85	49906.9				
27.9	49903.6				
27.9333	49901.7				
27.9833	49902.7				
28.0167	49903.8				
28.0667	49897.9				
28.1	49898.3				
28.15	49884.5				
28.2	49884.6				
28.2333	49881.7				
28.2667	49884.7				
28.3167	49883.2				
28.35	49882.3				
28.4	49883				
28.4333	49880.4				
28.4833	49883				
28.5167	49885.9				
28.5667	49886.6				
28.6	49888.8				
28.65	49887.8				
28.7	49887.9				
28.7333	49885.9				
28.7833	49886.1				
28.8167	49885.4				
28.8667	49885.4				
28.9167	49884.9				
28.95	49885.9				
29	49884.3				
29.0333	49885.3				
29.0833	49885.7				
29.1167	49885.2				
29.1667	49885.2				
29.2	49885.4				
29.25	49885				
29.3	49884.9				
