SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
6.61667	312525	-	-	9.76667	64504.1	7.33333	63546.8
6.66667	311908	-	-	9.83333	64502.7	7.38333	63571.6
6.7	311659	-	-	9.88333	64507.3	7.41667	63407.3
6.73333	311822	-	-	9.91667	64164.5	7.46667	63296.5
6.78333	311181	-	-	9.98333	64155.1	7.5	63214.9
6.81667	311055	-	-	10.0333	64048.9	7.53333	63010.5
6.85	311200	-	-	10.0833	63967.4	7.58333	63024.9
6.9	311474	-	-	10.15	63900.6	7.63333	62817.5
6.93333	311718	-	-	10.2	63821.2	7.66667	62607
6.96667	311011	-	-	10.25	63789.8	7.71667	62564.6
7.01667	310599	-	-	10.3167	63696.2	7.75	62584.3
7.05	310559	-	-	10.3667	63736.6	7.78333	62521.8
7.08333	310569	-	-	10.4333	63668.1	7.83333	62508.3
7.11667	310736	-	-	10.4833	63635.6	7.88333	62537.3
7.16667	310862	-	-	10.5333	63662.9	7.91667	62379.4
7.2	310920	-	-	10.6	63563.3	7.96667	62392.9
7.23333	310480	-	-	10.65	63383.3	8	62358.3
7.28333	310454	-	-	10.7	63365.1	8.05	62285.9
7.31667	310371	-	-	10.7667	63254.3	8.1	62114
7.35	310472	-	-	10.8167	63181.2	8.13333	61964.9
7.4	310607	-	-	10.8667	63184.8	8.18333	61913.4
7.43333	310492	-	-	10.9333	63080.1	8.21667	61810.4
7.46667	310495	-	-	10.9833	62961.6	8.25	61776.4
7.51667	310415	-	-	11.05	62862	8.3	61587.2
7.55	310179	-	-	11.1	62802.9	8.35	61444.8
7.58333	309970	-	-	11.1333	62728.2	8.38333	61463.6
7.63333	309763	-	-	11.2	62698.8	8.43333	61335.9
7.66667	309753	-	-	11.25	62607.8	8.46667	61204.7
7.7	309680	-	-	11.3	62356.6	8.51667	61139.6
7.75	309556	-	-	11.3667	62218.4	8.56667	61112
7.78333	309230	-	-	11.4167	62118.7	8.6	61088.5
7.81667	308771	-	-	11.4667	62073.1	8.65	60832.6
7.85	308899	-	-	11.5333	61941.1	8.68333	60791.1
7.9	308193	-	-	11.5833	61822.4	8.73333	60755
7.93333	308184	-	-	11.65	61766	8.76667	60795.2
7.96667	307773	-	-	11.7	61733.2	8.81667	60664
8.01667	307565	-	-	11.75	61685.9	8.85	60578.4
8.05	307699	-	-	11.8167	61652	8.9	60482.7
8.08333	306559	-	-	11.8667	61511.7	8.93333	60490
8.13333	306269	-	-	11.9167	61484.2	8.98333	60445.7
8.16667	306178	-	-	11.9833	61388.8	9.03333	60471.4
8.2	306230	-	-	12.0333	61169	9.06667	60452.1
8.25	304409	-	-	12.0833	61079.2	9.11667	60486.7
8.28333	304391	-	-	12.15	60988.5	9.15	60514
8.31667	304069	-	-	12.2	60834.1	9.2	60396.2
8.36667	304074	-	-	12.2667	60824.2	9.23333	60407.5
8.4	303337	-	-	12.3167	60842.2	9.28333	60374.5
8.43333	303359	-	-	12.3667	60802.8	9.31667	60275.8
8.46667	302853	-	-	12.4333	60754.6	9.36667	60221.8
8.51667	302975	-	-	12.4833	60633.7	9.4	60099.1
8.55	301800	-	-	12.5333	60623.8	9.45	59999.1
8.58333	301327	-	-	12.6	60646.8	9.48333	59907.6
8.63333	301340	-	-	12.65	60625.4	9.53333	59824.1
8.66667	300537	-	-	12.7	60630.4	9.56667	59821.4
8.7	300235	-	-	12.7667	60632.5	9.6	59850.3
8.75	300147	-	-	12.8167	60632.8	9.65	59843.5
8.78333	300109	-	-	12.8833	60645.7	9.7	59744.2
8.81667	298613	-	-	12.9333	60637.9	9.73333	59572.8
8.86667	298542	-	-	12.9833	60602.6	9.78333	59514.4
8.9	298588	-	-	13.05	60493.9	9.81667	59441.8
8.93333	298637	-	-	13.1	60492.3	9.86667	59438.3
8.98333	298667	-	-	13.15	60303.5	9.9	59440.7
9.01667	298717	-	-	13.2167	60195.9	9.95	59465.5
9.05	298838	-	-	13.2667	60084.2	9.98333	59408.9
9.08333	298527	-	-	13.3167	60042	10.0333	59379.5
9.13333	298561	-	-	13.3833	60053	10.0667	59193.9
9.16667	297569	-	-	13.4333	60016.1	10.1167	59146.2
9.2	297506	-	-	13.5	59929.2	10.15	59176.7
9.23333	296578	-	-	13.55	59906	10.2	59167.5
